STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10002,1,1,0,0,0,1,1,89,1730,14,2,2017,3,14,59,1,2,1,1,1,I-565,,70,34.66152778,-86.786852780000,0,1,0,0,1,1,0,3,1,1,0,1,0,0000000,15,0,15,9,88,88,0,0,0,1,0
1,10003,3,3,0,0,0,3,3,101,2130,31,1,2017,3,20,31,1,2,1,1,1,I-85,CHANTILLY PKWY,100,32.36651944,-86.145280560000,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
2,20059,2,2,0,0,0,2,2,170,2790,21,10,2017,7,4,49,1,2,3,1,6,PALMER-WASILLA HWY,,92,61.58375556,-149.391172220000,0,12,2,0,1,1,0,1,3,1,0,1,0,0000000,4,53,4,55,5,11,0,0,0,1,2
2,20060,1,1,0,1,1,1,1,20,130,26,10,2017,5,20,17,1,2,3,2,6,NORTHERN LIGHTS BLVD,BRAGAW ST,26,61.19891111,-149.808063890000,0,15,0,0,2,3,0,1,3,10,0,10,0,0000000,20,17,20,21,20,29,0,0,0,1,0
4,40015,2,2,0,0,0,2,2,13,370,13,1,2017,6,8,16,1,2,1,1,1,I-10,,1452,33.46215556,-112.073211110000,0,39,0,0,1,1,0,4,3,1,0,1,0,0000000,8,25,8,34,8,48,0,0,0,1,1
4,40017,1,1,0,0,0,4,4,15,59,15,1,2017,1,4,27,0,2,4,4,6,BULLHEAD PKWY,,0,35.06759722,-114.568225000000,0,43,0,0,1,1,0,3,2,1,0,1,0,0000000,4,27,4,39,99,99,0,0,0,2,1
5,50015,1,1,0,1,1,2,2,35,4120,9,1,2017,2,5,52,1,2,1,1,1,I-40-520,,2794,35.15855833,-90.158663890000,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
5,50023,1,1,0,0,0,1,1,91,0,30,1,2017,2,1,20,1,1,1,1,1,I-30-110,,82,33.52781944,-93.924816670000,0,24,0,0,1,1,0,3,2,1,0,1,0,0000000,1,32,1,45,88,88,0,0,0,1,1
26,260137,3,3,0,0,0,4,4,163,4815,10,3,2017,6,19,55,0,2,4,98,6,BEECH DALY,,64,42.25911667,-83.289355560000,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,19,55,20,0,99,99,0,0,0,1,1
26,260138,2,2,0,0,0,4,4,153,0,3,3,2017,6,2,30,1,1,3,98,2,US-2,,136,46.00407222,-86.000033330000,0,51,0,0,1,1,0,1,2,4,0,4,0,0000000,99,99,99,99,99,99,99,99,99,1,0
26,260139,2,2,0,0,0,3,3,99,4731,14,3,2017,3,0,47,0,2,4,98,6,RYAN RD,,83,42.56764444,-83.070019440000,0,12,2,0,1,1,0,1,3,4,0,4,0,0000000,0,48,0,55,99,99,0,0,0,1,1
